9.6,10,9.9,9.5,10,10,10,0.5,9,E
10,9.9,9.9,10,10,10,10,0,9,E
9,8.4,9.75,9.8,7,10,10,0.125,8,G
8,8,9.75,9,9,9.25,8,0.375,8,G
0,5.5,10,9.25,8.75,10,10,0,5,S
7.8,8,9.5,9.8,10,8,10,0.125,8,G
10,10,10,10,10,10,10,0.125,8,G
10,10,10,10,10,9.9,10,0.5,10,E
8,9.5,10,9.25,9.5,10,10,0.375,8,G
10,8.75,10,10,9,10,10,0,10,E
9.5,8,8.5,9.25,8.5,9.9,10,0,7,G
9,9.5,10,10,1,0,8,0,5,S
10,9.8,9,9.8,10,6.8,10,0,8,G
9,9.5,9.25,10,10,10,10,0,8,G
10,9.8,8.4,10,9,9,10,0,10,E
10,10,9,10,9.75,9,8.5,0,8,G
10,9,9.5,9.9,9.75,10,9.25,0,7,G
9.6,10,9.9,10,10,10,10,0.5,9,E
10,9.75,9.75,10,9.5,8.75,8.75,0,8,G
9.2,9.8,9.75,9.9,9,9.7,10,0.125,7,G
8.5,9.75,9,10,9.75,10,9,0,7,G
8,5.9,6,0,10,6,8,0,7,G
9.6,10,9.8,10,10,10,10,0.125,9,E
9,8,6,9.75,10,8.25,0,0.375,8,G
10,9.5,10,10,10,10,10,0.5,10,E
8.8,9.5,9.5,9.9,8.5,10,8,0,6,S
10,9.8,9.9,10,10,10,10,0.5,9,E
9,9.5,9.5,10,10,10,10,0.375,9,E
9,10,9.75,9.9,10,10,9.9,0.125,9,E
10,9.4,9,10,10,10,10,0,7,G
10,10,10,10,10,10,10,0.125,10,E
10,7,9,9.5,9.5,10,10,0.125,8,G
8,9.75,8,9.5,9.5,9.5,9.5,0,7,G
8.5,7,9.75,10,9.5,10,10,0,7,G
9.5,9.7,9.25,9.6,9.5,10,9.5,0,8,G
10,7.5,8.3,9.5,10,10,10,0.25,8,G
10,9,8.3,9.75,9.75,10,9.5,0,8,G
8.5,5.4,9,9.5,9,6,7.5,0,4,F
6.5,4,5.1,7,0,6,6.5,0,5,S
10,10,10,10,10,10,9.9,0.5,10,E
10,9.5,10,10,10,10,10,0.5,10,E
10,9.9,9.5,8.75,9.4,9.9,8,0,9,E
8,9.5,10,10,10,10,9.5,0.125,9,E
10,8.7,9.5,9,8.9,10,10,0,7,G
6.5,9.2,5.85,9.5,8.9,10,9.5,0.125,8,G
8,10,9.75,8.75,9.5,10,10,0,9,E
7.5,9.7,10,9.75,10,10,10,0,7,G
10,9.7,9.5,10,9.9,9.5,9.25,0,8,G
10,9.9,9.7,10,9.4,10,9.9,0,7,G
10,8.5,9.25,9.25,10,10,10,0.25,10,E
7.5,8.5,10,10,10,10,10,0,6,S
9,10,9.5,9.9,10,10,10,0.5,10,E
5.5,5.7,5.25,0,9.8,6,6.5,0,6,S
10,9.5,10,9.9,10,10,10,0.5,10,E
7,5.1,8,9,7.5,10,10,0.125,7,G
7.5,9,9,0,7.5,9.5,9,0.125,6,S
6,5,8.75,5,6,9,8,0,5,S
10,8.5,10,10,9,8,10,0.375,9,E
8,9,10,10,10,10,10,0,7,G
10,10,10,9,10,10,10,0.5,9,E
10,8.5,10,8.5,10,9.9,8,0,8,G
10,10,9.5,9.9,10,10,10,0,8,G
8,6,9,9,7,10,8.5,0.25,6,S
7,9,8.7,10,10,10,10,0.125,10,E
6,5,8.7,10,9,10,10,0,8,G
7,9,9.5,9.5,9.9,10,10,0.125,9,E
9.8,9.25,9.5,10,9.5,10,10,0.125,8,G
10,0,6.8,0,7.8,10,10,0,7,G
10,8.8,9.9,10,10,9,10,0,8,G
10,10,10,10,10,10,10,0,8,G
9.75,9.25,9.9,9.7,10,10,10,0,7,G
10,9.75,10,10,10,10,10,0,8,G
10,9.5,9.7,10,9.7,10,10,0.125,4,F
10,10,10,10,10,9.7,10,0.5,10,E
10,10,9.9,10,9.8,10,10,0,9,E
9.8,2,2,0,2,2,2,0,4,F
10,9.9,10,10,9.9,10,9.9,0.125,7,G
10,8.5,10,10,9.9,10,10,0.25,10,E
8.5,9.25,10,9.75,5.5,9.5,9,0,7,G
10,10,9.5,10,9.25,10,9,0,9,E
10,10,10,10,10,10,10,0,8,G
10,8,9.25,10,9,10,10,0,7,G
10,9.7,10,10,10,9.8,10,0,9,E
10,5.5,9,10,6.5,6,10,0,6,S
7,6,8.5,9.8,10,10,10,0,8,G
9.5,10,10,10,10,10,10,0.5,10,E
10,9.25,9.5,6,9.75,9.75,10,0.25,8,G
10,10,9.9,10,9,10,10,0.5,10,E
10,10,10,10,9.8,9.8,10,0.5,9,E
10,10,10,10,10,10,10,0.25,10,E
10,8.75,9.8,10,9.25,9.5,9.5,0,9,E
10,9.8,9.5,10,9.5,10,10,0,10,E
9.5,5.5,9,8,8.5,7.5,7.5,0,6,S
10,9.25,10,10,10,10,10,0,9,E
10,10,10,10,10,10,10,0.375,10,E
5,0,4.5,0,5,9,8,0,4,F
5,0,6,0,0,4,0,0,4,F
10,9.8,9.8,10,9.8,9.5,9.8,0,7,G
10,10,9.5,10,10,10,10,0.375,9,E
10,10,9.9,9.75,10,9.9,10,0,7,G
10,9.8,9,7.5,7,9,6,0.125,4,F
10,8.5,9.5,10,9,9.75,10,0,8,G
10,9,10,8,9.25,9.9,10,0,7,G
9.5,10,9.5,9.75,10,10,10,0,9,E
8,7,10,10,10,10,10,0,8,G
10,9.5,10,9.9,10,10,10,0.125,8,G
10,2,6,10,4.4,9.9,1,0,5,S
10,10,10,10,10,10,10,0.5,10,E
9,6.5,8.5,9.5,9.25,6,0,0.125,7,G
10,5.5,2,0,8,10,5,0,7,G
8,9,9.8,0,10,10,10,0,7,G
8,6.2,0,0,6,6.5,8.5,0,4,F
10,6,10,10,9.9,10,8,0,7,G
10,10,10,9.7,9,10,10,0,7,G
10,10,10,10,10,10,10,0,9,E
10,7,9,9,9.8,10,10,0.5,9,E
9.5,9.9,9.5,10,10,10,10,0.5,9,E
10,5.7,9,6.5,9,9.9,9.5,0.25,6,S
10,9.5,9.5,9.5,10,9.9,9.5,0.125,8,G
10,2,0,6.5,5.2,6,8.5,0,4,F
10,9.25,10,10,10,10,10,0.5,10,E
10,9.8,10,10,10,10,10,0.5,10,E
9.5,0,7,9.75,9,9.9,10,0.125,8,G
8.5,9,10,6,6,10,0,0,9,E
10,10,10,9.9,10,10,10,0.5,9,E
10,10,10,10,10,10,10,0.5,10,E
10,6.3,6,9.5,10,10,10,0.125,6,S
10,10,10,10,9.9,10,10,0,8,G
10,10,6.5,10,9.9,9.9,10,0,8,G
10,10,9,10,9.5,10,10,0.125,8,G
10,10,10,10,10,10,10,0.5,10,E
10,7.5,8,10,4,10,8,0,7,G
10,9.5,9.25,10,9.8,10,10,0,7,G
10,10,9,10,9.9,9.75,10,0,8,G
10,5.5,5,10,9.25,9.5,8.25,0.125,8,G
